Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1347269280417656832,"RT @Forbes : No, Elon Musk is not the richest person in the world—yet https://t.co/1HuVm3iHXO by @skleb1234 https://t.co/9MunzHaSjb",Samuel K. Kwasi,Kapiabo,2021-01-07T19:50:02.000Z,Thu Jan 07 19:50:02 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://on.forbes.com/6017HVAzX ,0,1,photo,https://pbs.twimg.com/media/ErJ00HUWMAEFOZm.jpg,,,
1347269279360708609,"RT @ajplus : Elon Musk overtook Jeff Bezos as the world's richest person, reports @business.

Musk had made at least $68 billion during the pandemic. Meanwhile, last year:
- There were 2.3 million layoffs
- 1 in 8 homes did not have enough to eat
- 19.5 million on jobless aid in mid-Dec https://t.co/OtTYO2BTys",your neighborhood 婆婆,softwonwoolly,2021-01-07T19:50:01.000Z,Thu Jan 07 19:50:01 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/ErJs3EmWMAAc5DW.jpg,https://pbs.twimg.com/media/ErJs1-cXYAIH_yg.jpg,,
1347269276441436163,"RT @Complex : Elon Musk now officially the richest person in the world, passing Jeff Bezos.

More: https://t.co/FXfefHUGqY https://t.co/QhqxjoCda6",Rodney Alfred,_CFCRodney,2021-01-07T19:50:01.000Z,Thu Jan 07 19:50:01 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://bit.ly/3s4XtXp ,0,0,photo,https://pbs.twimg.com/media/ErJf1tPXUAIlSrD.jpg,,,
1347269276336594945,RT @1v1ok : Elon Musk’s reaction to him being the richest person in the world https://t.co/QD0zTaPQNm,ᴛɪɴ,DoblerValentin,2021-01-07T19:50:01.000Z,Thu Jan 07 19:50:01 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJVX6CXAAQbVRK.jpg,,,
1347269275065733125,RT @verge : Elon Musk passes Jeff Bezos to become the richest person on Earth https://t.co/yHilp5FHft https://t.co/7JDPbZMnvA,Ingrid,ingridcapuni,2021-01-07T19:50:00.000Z,Thu Jan 07 19:50:00 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.theverge.com/2021/1/7/22163361/elon-musk-billionaire-richest-world-jeff-bezos-tesla-stock-spacex?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter ,0,0,photo,https://pbs.twimg.com/media/ErI-P_6XcAMa1Zm.jpg,,,
1347269273459126272,"CNN is a colonial pro-Zionist media. Therefore, it is always biased, pro-Democratic,  praises the snouty,-nose imperialist billionaires, supports the illigitimate murderous Zionist regime of Israel&amp;anti-poor media.
https://t.co/Y3kJLaQhZr",Dr. Qassimyar,AkhtarQassimyar,2021-01-07T19:50:00.000Z,Thu Jan 07 19:50:00 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://www.cnn.com/2021/01/07/investing/elon-musk-jeff-bezos-richest-person/index.html ,0,0,,,,,
1347269266844823556,RT @AJEnglish : Elon Musk overtakes Bezos to become world’s richest person https://t.co/z8vv3WAslb https://t.co/IEmBdV8R0o,MaMbhele,Honey_Mbhele,2021-01-07T19:49:58.000Z,Thu Jan 07 19:49:58 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://aje.io/beww7 ,0,0,photo,https://pbs.twimg.com/media/ErJLfA-XUAMJx7r.jpg,,,
1347269266006020097,"RT @CNN : Elon Musk has edged past Amazon founder Jeff Bezos to grab the title of world's richest person, according to Bloomberg. https://t.co/kpJ1IjBHOC",Z A Y D,zaydyakub,2021-01-07T19:49:58.000Z,Thu Jan 07 19:49:58 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://cnn.it/38oEjUK ,0,0,,,,,
1347269262021251073,"RT @lexfridman : Elon Musk is now the richest person in the world.

Step 1: Build things that people love.
Step 2: Profit.",Mavexpress,mavexpress1,2021-01-07T19:49:57.000Z,Thu Jan 07 19:49:57 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1347269247400112135,people getting happy that elon musk is the richest person in the world like he will be sharing it with them,abdullah lekin pyaar se log shafiq bolte hain,badshahobadshah,2021-01-07T19:49:54.000Z,Thu Jan 07 19:49:54 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1347269247035187200,RT @nypost : Elon Musk passes Jeff Bezos to become world’s richest person https://t.co/103EyEkyp8 https://t.co/WHgqZsWrtO,Jean Bird,jwinbird,2021-01-07T19:49:54.000Z,Thu Jan 07 19:49:54 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://trib.al/HBVoLsk ,0,0,photo,https://pbs.twimg.com/media/ErJur-dXMAMb8m1.jpg,,,
1347269244350849025,"RT @JonErlichman : Breaking: Elon Musk just became the richest person in the world.

His net worth is now $188.5 billion, surpassing that of Jeff Bezos.

In the past year, Musk’s fortune has risen by $160 billion. https://t.co/poCjypj4Ss",Edwin,EdwinOrdonez20,2021-01-07T19:49:53.000Z,Thu Jan 07 19:49:53 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErI7JEyW4Ac6baH.jpg,,,
1347269243503599617,"RT @JonErlichman : Breaking: Elon Musk just became the richest person in the world.

His net worth is now $188.5 billion, surpassing that of Jeff Bezos.

In the past year, Musk’s fortune has risen by $160 billion. https://t.co/poCjypj4Ss",Seyana for BLM,Princess_Seyana,2021-01-07T19:49:53.000Z,Thu Jan 07 19:49:53 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErI7JEyW4Ac6baH.jpg,,,
1347269238394920962,"RT @BW : Elon Musk, now the richest person in the world, has made millionaires out of Tesla's most loyal fans. Meet one of them https://t.co/ROalpijR4Q https://t.co/FlPlv54nxS",@auwaluiliya7,auwaluiliya7,2021-01-07T19:49:52.000Z,Thu Jan 07 19:49:52 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://trib.al/Cbo2Qmm ,0,0,video,https://video.twimg.com/amplify_video/1339932773667250178/vid/320x320/fiY2IKbu-pevCeyH.mp4?tag=13,,,
1347269235056193537,"RT @business : Elon Musk, the outspoken entrepreneur behind Tesla and SpaceX, is now the richest person on the planet https://t.co/Z5Nu1kuWx2",Darnell Clayton,Darnell,2021-01-07T19:49:51.000Z,Thu Jan 07 19:49:51 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://trib.al/s0b1ERB ,0,0,,,,,
1347269229867905030,"RT @BW : Elon Musk, now the richest person in the world, has made millionaires out of Tesla's most loyal fans. Meet one of them https://t.co/ROalpijR4Q https://t.co/FlPlv54nxS",Tshokolo🇿🇦,Tshokolo11,2021-01-07T19:49:50.000Z,Thu Jan 07 19:49:50 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://trib.al/Cbo2Qmm ,0,0,video,https://video.twimg.com/amplify_video/1339932773667250178/vid/320x320/fiY2IKbu-pevCeyH.mp4?tag=13,,,
1347269229444292609,"RT @BBCWorld : Tesla and SpaceX owner Elon Musk replaced Jeff Bezos as the world's richest person, worth $185bn https://t.co/wtaabTOfqn",Nashonjuma002,nashonjuma002,2021-01-07T19:49:50.000Z,Thu Jan 07 19:49:50 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://bbc.in/38ngxbR ,0,0,,,,,
